Symbol,Industry,Sector
CIGI,Real Estate Services,Real Estate
FCN,Consulting Services,Industrials
KRG,REIT - Retail,Real Estate
VSNT,Entertainment,Communication Services
PECO,REIT - Retail,Real Estate
VNO,REIT - Office,Real Estate
UFPI,Lumber & Wood Production,Materials
RUSHA,Auto & Truck Dealerships,Consumer Discretionary
WIX,Software - Infrastructure,Technology
RITM,REIT - Mortgage,Real Estate
HWC,Banks - Regional,Financials
CHE,Medical Care Facilities,Healthcare
ST,Scientific & Technical Instruments,Technology
WEX,Software - Infrastructure,Technology
AVTR,Medical Instruments & Supplies,Healthcare
ORLA,Gold,Materials
MEOH,Chemicals,Materials
ACA,Engineering & Construction,Industrials
MSM,Industrial Distribution,Industrials
REZI,Industrial Distribution,Industrials
KGS,Oil & Gas Equipment & Services,Energy
ESTC,Software - Application,Technology
WFG,Lumber & Wood Production,Materials
LPX,Building Products & Equipment,Industrials
AUB,Banks - Regional,Financials
VNT,Scientific & Technical Instruments,Technology
LAUR,Education & Training Services,Consumer Staples
ENPH,Solar,Technology
SBRA,REIT - Healthcare Facilities,Real Estate
MAC,REIT - Retail,Real Estate
OZK,Banks - Regional,Financials
CENX,Aluminum,Materials
ALKS,Drug Manufacturers - Specialty & Generic,Healthcare
SRRK,Biotechnology,Healthcare
AVT,Electronics & Computer Distribution,Technology
IPGP,Semiconductor Equipment & Materials,Technology
IMVT,Biotechnology,Healthcare
AVAL,Banks - Regional,Financials
RSI,Gambling,Consumer Discretionary
RIOT,Capital Markets,Financials
GLBE,Internet Retail,Consumer Discretionary
PAM,Conglomerates,Industrials
DOO,Recreational Vehicles,Consumer Discretionary
LNTH,Drug Manufacturers - Specialty & Generic,Healthcare
MNSO,Specialty Retail,Consumer Discretionary
BTU,Thermal Coal,Energy
PACS,Medical Care Facilities,Healthcare
MATX,Marine Shipping,Industrials
ATAT,Lodging,Consumer Discretionary
VSEC,Aerospace & Defense,Industrials
CAI,Biotechnology,Healthcare
BMA,Banks - Regional,Financials
TDS,Telecom Services,Communication Services
MCY,Insurance - Property & Casualty,Financials
CWST,Waste Management,Industrials
CORZ,Software - Infrastructure,Technology
NSA,REIT - Industrial,Real Estate
AQN,Utilities - Diversified,Utilities
IEP,Oil & Gas Refining & Marketing,Energy
ATMU,Auto Parts,Consumer Discretionary
M,Department Stores,Consumer Discretionary
SIM,Steel,Materials
CWEN,Utilities - Renewable,Utilities
LBRT,Oil & Gas Equipment & Services,Energy
AX,Banks - Regional,Financials
MRP,REIT - Residential,Real Estate
TGTX,Biotechnology,Healthcare
KBR,Engineering & Construction,Industrials
GNTX,Auto Parts,Consumer Discretionary
EXLS,Information Technology Services,Technology
ERAS,Biotechnology,Healthcare
GPGI,Metal Fabrication,Industrials
MAIN,Asset Management,Financials
LMND,Insurance - Property & Casualty,Financials
KLAR,Software - Infrastructure,Technology
CLF,Steel,Materials
BIPC,Utilities - Regulated Gas,Utilities
PHI,Telecom Services,Communication Services
BC,Recreational Vehicles,Consumer Discretionary
OPEN,Real Estate Services,Real Estate
CHH,Lodging,Consumer Discretionary
FBIN,Building Products & Equipment,Industrials
POST,Packaged Foods,Consumer Staples
CPA,Airlines,Industrials
GHC,Education & Training Services,Consumer Staples
ETSY,Internet Retail,Consumer Discretionary
KNF,Building Materials,Materials
NNI,Credit Services,Financials
BOOT,Apparel Retail,Consumer Discretionary
RUSHB,Auto & Truck Dealerships,Consumer Discretionary
FOLD,Biotechnology,Healthcare
OUT,REIT - Specialty,Real Estate
WAY,Health Information Services,Healthcare
CACC,Credit Services,Financials
MTN,Resorts & Casinos,Consumer Discretionary
UNF,Specialty Business Services,Industrials
CRGY,Oil & Gas Exploration & Production,Energy
SIGI,Insurance - Property & Casualty,Financials
OSIS,Electronic Components,Technology
MIR,Specialty Industrial Machinery,Industrials
DUOL,Software - Application,Technology
LOPE,Education & Training Services,Consumer Staples
RAL,Electronic Components,Technology
SNDR,Trucking,Industrials
PFSI,Mortgage Finance,Financials
BGC,Capital Markets,Financials
RDN,Insurance - Specialty,Financials
PSMT,Discount Stores,Consumer Staples
RGTI,Computer Hardware,Technology
HIMS,Drug Manufacturers - Specialty & Generic,Healthcare
REYN,Packaging & Containers,Consumer Discretionary
CRSP,Biotechnology,Healthcare
DOCS,Health Information Services,Healthcare
BDC,Communication Equipment,Technology
HASI,Asset Management,Financials
RDNT,Diagnostics & Research,Healthcare
CSW,Specialty Industrial Machinery,Industrials
MC,Capital Markets,Financials
OLED,Electronic Components,Technology
MAT,Leisure,Consumer Discretionary
PTEN,Oil & Gas Drilling,Energy
BFAM,Personal Services,Consumer Discretionary
DNTH,Biotechnology,Healthcare
MRCY,Aerospace & Defense,Industrials
S,Software - Infrastructure,Technology
OPCH,Medical Care Facilities,Healthcare
BMI,Scientific & Technical Instruments,Technology
VVV,Auto & Truck Dealerships,Consumer Discretionary
UUUU,Uranium,Energy
MYRG,Engineering & Construction,Industrials
WING,Restaurants,Consumer Discretionary
MWA,Specialty Industrial Machinery,Industrials
EBC,Banks - Regional,Financials
TNL,Travel Services,Consumer Discretionary
SAIC,Information Technology Services,Technology
KEN,Utilities - Independent Power Producers,Utilities
MDU,Utilities - Regulated Gas,Utilities
ALM,Other Industrial Metals & Mining,Materials
AIR,Aerospace & Defense,Industrials
CNTA,Biotechnology,Healthcare
IBOC,Banks - Regional,Financials
FSLY,Software - Application,Technology
THO,Recreational Vehicles,Consumer Discretionary
BCO,Security & Protection Services,Industrials
ALK,Airlines,Industrials
FFIN,Banks - Regional,Financials
ONDS,Communication Equipment,Technology
TCBI,Banks - Regional,Financials
TDW,Oil & Gas Equipment & Services,Energy
MMSI,Medical Instruments & Supplies,Healthcare
USAC,Oil & Gas Equipment & Services,Energy
KC,Software - Application,Technology
VCTR,Asset Management,Financials
MMED,Medical Instruments & Supplies,Healthcare
FHI,Asset Management,Financials
ACIW,Software - Infrastructure,Technology
ASB,Banks - Regional,Financials
EMAT,Other Industrial Metals & Mining,Materials
VISN,Communication Equipment,Technology
NOVT,Scientific & Technical Instruments,Technology
SLM,Credit Services,Financials
NVST,Medical Instruments & Supplies,Healthcare
LBTYA,Telecom Services,Communication Services
SKT,REIT - Retail,Real Estate
TPC,Engineering & Construction,Industrials
GPOR,Oil & Gas Exploration & Production,Energy
SLGN,Packaging & Containers,Consumer Discretionary
SKY,Residential Construction,Consumer Discretionary
NWE,Utilities - Regulated Electric,Utilities
MTH,Residential Construction,Consumer Discretionary
ANF,Apparel Retail,Consumer Discretionary
CORT,Biotechnology,Healthcare
FELE,Specialty Industrial Machinery,Industrials
CROX,Footwear & Accessories,Consumer Discretionary
NHI,REIT - Healthcare Facilities,Real Estate
CAAP,Airports & Air Services,Industrials
TPH,Residential Construction,Consumer Discretionary
SFBS,Banks - Regional,Financials
PONY,Information Technology Services,Technology
SEI,Oil & Gas Equipment & Services,Energy
HRB,Personal Services,Consumer Discretionary
CVSA,Education & Training Services,Consumer Staples
AD,Telecom Services,Communication Services
TBBB,Discount Stores,Consumer Staples
AAUC,Gold,Materials
LGND,Biotechnology,Healthcare
FRMI,Regulated Electric,Utilities
CBT,Specialty Chemicals,Materials
ALH,"Furnishings, Fixtures & Appliances",Consumer Discretionary
WHD,Oil & Gas Equipment & Services,Energy
CSAN,Oil & Gas Refining & Marketing,Energy
TAC,Utilities - Independent Power Producers,Utilities
GPI,Auto & Truck Dealerships,Consumer Discretionary
QS,Auto Parts,Consumer Discretionary
EE,Oil & Gas Midstream,Energy
IRTC,Medical Devices,Healthcare
BRC,Security & Protection Services,Industrials
LPL,Consumer Electronics,Technology
LUNR,Aerospace & Defense,Industrials
TFSL,Banks - Regional,Financials
ITRI,Scientific & Technical Instruments,Technology
FLY,Aerospace & Defense,Industrials
SPHR,Entertainment,Communication Services
ACHR,Aerospace & Defense,Industrials
FTDR,Personal Services,Consumer Discretionary
GEF,Packaging & Containers,Consumer Discretionary
AKO.A,Beverages - Non-Alcoholic,Consumer Staples
AKO.B,Beverages - Non-Alcoholic,Consumer Staples
AMRX,Drug Manufacturers - Specialty & Generic,Healthcare
ABG,Auto & Truck Dealerships,Consumer Discretionary
HAFN,Marine Shipping,Industrials
MZTI,Packaged Foods,Consumer Staples
VKTX,Biotechnology,Healthcare
SIMO,Semiconductors,Technology
SHC,Diagnostics & Research,Healthcare
ARLP,Thermal Coal,Energy
CNO,Insurance - Life,Financials
EPR,REIT - Specialty,Real Estate
SYRE,Biotechnology,Healthcare
UCB,Banks - Regional,Financials
TREX,Building Products & Equipment,Industrials
BNL,REIT - Diversified,Real Estate
HHH,Real Estate - Development,Real Estate
CMBT,Oil & Gas Midstream,Energy
SXT,Specialty Chemicals,Materials
CALM,Farm Products,Consumer Staples
LAZ,Capital Markets,Financials
KTB,Apparel Manufacturing,Consumer Discretionary
STVN,Medical Instruments & Supplies,Healthcare
AZZ,Specialty Business Services,Industrials
BILL,Software - Application,Technology
DLO,Software - Infrastructure,Technology
CVCO,Residential Construction,Consumer Discretionary
FOUR,Software - Infrastructure,Technology
OII,Oil & Gas Equipment & Services,Energy
HP,Oil & Gas Drilling,Energy
ELF,Household & Personal Products,Consumer Staples
SKYW,Airlines,Industrials
OTTR,Conglomerates,Industrials
LRN,Education & Training Services,Consumer Staples
LEU,Uranium,Energy
NG,Gold,Materials
LASR,Semiconductors,Technology
INDB,Banks - Regional,Financials
BANF,Banks - Regional,Financials
STNG,Oil & Gas Midstream,Energy
PATK,Recreational Vehicles,Consumer Discretionary
DAN,Auto Parts,Consumer Discretionary
IRT,REIT - Residential,Real Estate
HGTY,Insurance - Property & Casualty,Financials
AGO,Insurance - Specialty,Financials
ZETA,Software - Infrastructure,Technology
MMS,Specialty Business Services,Industrials
LBTYB,Telecom Services,Communication Services
LBTYK,Telecom Services,Communication Services
USLM,Building Materials,Materials
CUZ,REIT - Office,Real Estate
FULT,Banks - Regional,Financials
ACAD,Biotechnology,Healthcare
JOE,Real Estate - Diversified,Real Estate
TCGL,Software - Infrastructure,Technology
CCC,Software - Application,Technology
BGSI,Auto & Truck Dealerships,Consumer Discretionary
CRNX,Biotechnology,Healthcare
ARIS,Gold,Materials
SMG,Agricultural Inputs,Materials
NMRK,Real Estate Services,Real Estate
INSW,Oil & Gas Midstream,Energy
CDP,REIT - Office,Real Estate
KNSA,Drug Manufacturers - Specialty & Generic,Healthcare
CVI,Oil & Gas Refining & Marketing,Energy
WBI,Oil & Gas Equipment & Services,Energy
SII,Asset Management,Financials
SMR,Specialty Industrial Machinery,Industrials
SHAK,Restaurants,Consumer Discretionary
GEF.B,Packaging & Containers,Consumer Discretionary
GTLB,Software - Infrastructure,Technology
MIAX,Capital Markets,Financials
NAMS,Biotechnology,Healthcare
ASO,Specialty Retail,Consumer Discretionary
MMYT,Travel Services,Consumer Discretionary
BHF,Insurance - Life,Financials
MDA,Other,-
KAI,Specialty Industrial Machinery,Industrials
VSCO,Apparel Retail,Consumer Discretionary
INTR,Banks - Regional,Financials
TMDX,Medical Devices,Healthcare
ALHC,Healthcare Plans,Healthcare
KLIC,Semiconductor Equipment & Materials,Technology
LIVN,Medical Devices,Healthcare
BBWI,Specialty Retail,Consumer Discretionary
MNDY,Software - Application,Technology
GTX,Auto Parts,Consumer Discretionary
SIG,Luxury Goods,Consumer Discretionary
USAR,Other Industrial Metals & Mining,Materials
SKE,Other Industrial Metals & Mining,Materials
CGAU,Gold,Materials
HRI,Rental & Leasing Services,Industrials
KRC,REIT - Office,Real Estate
WSFS,Banks - Regional,Financials
WHR,"Furnishings, Fixtures & Appliances",Consumer Discretionary
CVLT,Software - Application,Technology
WPP,Advertising Agencies,Communication Services
CARG,Auto & Truck Dealerships,Consumer Discretionary
FIBK,Banks - Regional,Financials
OSCR,Healthcare Plans,Healthcare
RYN,REIT - Specialty,Real Estate
BTE,Oil & Gas Exploration & Production,Energy
EWTX,Biotechnology,Healthcare
OLN,Chemicals,Materials
STNE,Software - Infrastructure,Technology
CALX,Software - Infrastructure,Technology
PPTA,Other Precious Metals & Mining,Materials
AB,Asset Management,Financials
WK,Software - Application,Technology
BKD,Medical Care Facilities,Healthcare
AVA,Utilities - Diversified,Utilities
GFF,Building Products & Equipment,Industrials
FG,Insurance - Life,Financials
BKU,Banks - Regional,Financials
CATY,Banks - Regional,Financials
RNST,Banks - Regional,Financials
AXTI,Semiconductor Equipment & Materials,Technology
AVNT,Specialty Chemicals,Materials
GPCR,Biotechnology,Healthcare
PARR,Oil & Gas Refining & Marketing,Energy
ENVA,Credit Services,Financials
CC,Specialty Chemicals,Materials
BETA,Aerospace & Defense,Industrials
KFY,Staffing & Employment Services,Industrials
PLBL,Department Stores,Consumer Discretionary
CLBT,Software - Infrastructure,Technology
SUNC,Oil & Gas Midstream,Energy
GBDC,Asset Management,Financials
FUL,Specialty Chemicals,Materials
BXMT,REIT - Mortgage,Real Estate
BSM,Oil & Gas Exploration & Production,Energy
WSBC,Banks - Regional,Financials
FBP,Banks - Regional,Financials
NOG,Oil & Gas Exploration & Production,Energy
CNK,Entertainment,Communication Services
BLLN,Diagnostics & Research,Healthcare
LIF,Software - Application,Technology
VEON,Telecom Services,Communication Services
BOX,Software - Infrastructure,Technology
PRM,Specialty Chemicals,Materials
TLX,Biotechnology,Healthcare
NP,Insurance Brokers,Financials
MCHB,Banks - Regional,Financials
HWKN,Specialty Chemicals,Materials
EXPO,Engineering & Construction,Industrials
KBH,Residential Construction,Consumer Discretionary
RELY,Software - Infrastructure,Technology
NATL,Software - Application,Technology
CSTM,Aluminum,Materials
DORM,Auto Parts,Consumer Discretionary
ZIM,Marine Shipping,Industrials
ALMS,Biotechnology,Healthcare
TR,Confectioners,Consumer Staples
DIOD,Semiconductors,Technology
CNS,Asset Management,Financials
SEDG,Solar,Technology
PLMR,Insurance - Property & Casualty,Financials
COLD,REIT - Industrial,Real Estate
FIZZ,Beverages - Non-Alcoholic,Consumer Staples
BFH,Credit Services,Financials
LEGN,Biotechnology,Healthcare
ICUI,Medical Instruments & Supplies,Healthcare
BBAR,Banks - Regional,Financials
AAP,Auto Parts,Consumer Discretionary
GNW,Insurance - Life,Financials
WSC,Rental & Leasing Services,Industrials
NTSK,Software - Infrastructure,Technology
DNN,Uranium,Energy
LQDA,Drug Manufacturers - Specialty & Generic,Healthcare
HGV,Resorts & Casinos,Consumer Discretionary
NIC,Banks - Regional,Financials
MRX,Capital Markets,Financials
LCID,Auto Manufacturers,Consumer Discretionary
PAY,Software - Infrastructure,Technology
PII,Recreational Vehicles,Consumer Discretionary
QLYS,Software - Infrastructure,Technology
MHO,Residential Construction,Consumer Discretionary
MARA,Capital Markets,Financials
PVH,Apparel Manufacturing,Consumer Discretionary
PLUG,Electrical Equipment & Parts,Industrials
SXI,Specialty Industrial Machinery,Industrials
NAVN,Software - Application,Technology
TOWN,Banks - Regional,Financials
NIQ,Information Technology Services,Technology
BWIN,Insurance Brokers,Financials
HYMC,Gold,Materials
ACLS,Semiconductor Equipment & Materials,Technology
IAC,Internet Content & Information,Communication Services
PI,Semiconductors,Technology
CBU,Banks - Regional,Financials
CPK,Utilities - Regulated Gas,Utilities
RNG,Software - Application,Technology
FHB,Banks - Regional,Financials
CTRI,Utilities - Regulated Gas,Utilities
RUN,Solar,Technology
LCII,Recreational Vehicles,Consumer Discretionary
ITGR,Medical Devices,Healthcare
AWR,Utilities - Regulated Water,Utilities
IRDM,Telecom Services,Communication Services
MTRN,Other Industrial Metals & Mining,Materials
DHT,Oil & Gas Midstream,Energy
DBRG,Asset Management,Financials
IPAR,Household & Personal Products,Consumer Staples
FSM,Gold,Materials
HSAI,Auto Parts,Consumer Discretionary
ARX,Insurance Brokers,Financials
BOH,Banks - Regional,Financials
DNLI,Biotechnology,Healthcare
HAYW,Electrical Equipment & Parts,Industrials
PRK,Banks - Regional,Financials
COLM,Apparel Manufacturing,Consumer Discretionary
CPRX,Biotechnology,Healthcare
AMR,Coking Coal,Materials
HNGE,Health Information Services,Healthcare
SUPN,Drug Manufacturers - Specialty & Generic,Healthcare
SBCF,Banks - Regional,Financials
HG,Insurance - Reinsurance,Financials
OPLN,Auto & Truck Dealerships,Consumer Discretionary
DKL,Oil & Gas Refining & Marketing,Energy
ANDG,Personal Services,Consumer Discretionary
DK,Oil & Gas Refining & Marketing,Energy
SDRL,Oil & Gas Drilling,Energy
QTWO,Software - Application,Technology
APAM,Asset Management,Financials
DYN,Biotechnology,Healthcare
JOYY,Internet Content & Information,Communication Services
TARS,Biotechnology,Healthcare
MANU,Entertainment,Communication Services
NMIH,Insurance - Specialty,Financials
PBH,Drug Manufacturers - Specialty & Generic,Healthcare
TRMD,Oil & Gas Midstream,Energy
VRDN,Biotechnology,Healthcare
GBTG,Travel Services,Consumer Discretionary
TALO,Oil & Gas Exploration & Production,Energy
UNFI,Food Distribution,Consumer Staples
KD,Information Technology Services,Technology
MGEE,Utilities - Regulated Electric,Utilities
CLMT,Specialty Chemicals,Materials
SA,Gold,Materials
FSK,Asset Management,Financials
VERA,Biotechnology,Healthcare
YSS,Aerospace & Defense,Industrials
IHS,Real Estate Services,Real Estate
ATS,Specialty Industrial Machinery,Industrials
KMT,Tools & Accessories,Industrials
TNGX,Biotechnology,Healthcare
POWI,Semiconductors,Technology
SFNC,Banks - Regional,Financials
FRPT,Packaged Foods,Consumer Staples
WU,Credit Services,Financials
CRVL,Insurance Brokers,Financials
CWK,Real Estate Services,Real Estate
AEO,Apparel Retail,Consumer Discretionary
TTAM,Building Materials,Materials
TWST,Diagnostics & Research,Healthcare
GPK,Packaging & Containers,Consumer Discretionary
LXP,REIT - Industrial,Real Estate
SOC,Oil & Gas Drilling,Energy
CON,Medical Care Facilities,Healthcare
WDFC,Specialty Chemicals,Materials
SLG,REIT - Office,Real Estate
APLE,REIT - Hotel & Motel,Real Estate
MPT,REIT - Healthcare Facilities,Real Estate
MGRC,Rental & Leasing Services,Industrials
CURB,REIT - Retail,Real Estate
PAGS,Software - Infrastructure,Technology
CAKE,Restaurants,Consumer Discretionary
FFBC,Banks - Regional,Financials
BANC,Banks - Regional,Financials
YETI,Leisure,Consumer Discretionary
PFS,Banks - Regional,Financials
CWT,Utilities - Regulated Water,Utilities
COCO,Beverages - Non-Alcoholic,Consumer Staples
UCTT,Semiconductor Equipment & Materials,Technology
ADEA,Software - Application,Technology
IDYA,Biotechnology,Healthcare
GRBK,Residential Construction,Consumer Discretionary
BCC,Lumber & Wood Production,Materials
LION,Entertainment,Communication Services
SYNA,Semiconductors,Technology
VTMX,Real Estate - Development,Real Estate
UE,REIT - Retail,Real Estate
FBK,Banks - Regional,Financials
DBD,Software - Application,Technology
ACMR,Semiconductor Equipment & Materials,Technology
MSGE,Leisure,Consumer Discretionary
EXK,Silver,Materials
ARQT,Biotechnology,Healthcare
FORTY,Information Technology Services,Technology
EFXT,Oil & Gas Equipment & Services,Energy
ZGN,Apparel Manufacturing,Consumer Discretionary
ERO,Copper,Materials
BRZE,Software - Application,Technology
FCPT,REIT - Retail,Real Estate
FLNC,Utilities - Renewable,Utilities
RLX,Tobacco,Consumer Staples
CVBF,Banks - Regional,Financials
BATRA,Entertainment,Communication Services
AKR,REIT - Retail,Real Estate
BWLP,Marine Shipping,Industrials
EEFT,Software - Infrastructure,Technology
PHIN,Auto Parts,Consumer Discretionary
RCUS,Biotechnology,Healthcare
HE,Utilities - Regulated Electric,Utilities
BULL,Software - Application,Technology
HTGC,Asset Management,Financials
TVTX,Biotechnology,Healthcare
WOR,Metal Fabrication,Industrials
HAE,Medical Devices,Healthcare
TNK,Oil & Gas Midstream,Energy
NHC,Medical Care Facilities,Healthcare
SOUN,Software - Application,Technology
MH,Education & Training Services,Consumer Staples
VRNS,Software - Infrastructure,Technology
TRN,Railroads,Industrials
WRBY,Medical Instruments & Supplies,Healthcare
TXG,Health Information Services,Healthcare
NGVT,Specialty Chemicals,Materials
CALY,Leisure,Consumer Discretionary
SBLK,Marine Shipping,Industrials
PRVA,Health Information Services,Healthcare
HNI,"Furnishings, Fixtures & Appliances",Consumer Discretionary
BKE,Apparel Retail,Consumer Discretionary
ANDE,Food Distribution,Consumer Staples
RHI,Staffing & Employment Services,Industrials
LFST,Medical Care Facilities,Healthcare
TRMK,Banks - Regional,Financials
DX,REIT - Mortgage,Real Estate
BBT,Banks - Regional,Financials
RH,Specialty Retail,Consumer Discretionary
MNR,Oil & Gas Exploration & Production,Energy
MANE,Biotechnology,Healthcare
FIGS,Apparel Manufacturing,Consumer Discretionary
UAA,Apparel Manufacturing,Consumer Discretionary
DRD,Gold,Materials
SPNT,Insurance - Reinsurance,Financials
ASH,Specialty Chemicals,Materials
LMAT,Medical Instruments & Supplies,Healthcare
CHEF,Food Distribution,Consumer Staples
HTO,Utilities - Regulated Water,Utilities
UA,Apparel Manufacturing,Consumer Discretionary
NN,Software - Infrastructure,Technology
BELFB,Electronic Components,Technology
SHOO,Footwear & Accessories,Consumer Discretionary
BELFA,Electronic Components,Technology
CEPU,Utilities - Regulated Electric,Utilities
ETOR,Capital Markets,Financials
FRME,Banks - Regional,Financials
TDC,Software - Infrastructure,Technology
VCYT,Diagnostics & Research,Healthcare
WRD,Software - Application,Technology
IVT,REIT - Retail,Real Estate
CXT,Specialty Industrial Machinery,Industrials
DAVE,Software - Application,Technology
WAFD,Banks - Regional,Financials
VC,Auto Parts,Consumer Discretionary
AMBP,Packaging & Containers,Consumer Discretionary
UPST,Credit Services,Financials
SAM,Beverages - Brewers,Consumer Staples
DJT,Internet Content & Information,Communication Services
BCRX,Drug Manufacturers - Specialty & Generic,Healthcare
PLAB,Semiconductor Equipment & Materials,Technology
BRSL,Gambling,Consumer Discretionary
PRDO,Education & Training Services,Consumer Staples
ELVN,Biotechnology,Healthcare
CUBI,Banks - Regional,Financials
ATRO,Aerospace & Defense,Industrials
VSH,Semiconductors,Technology
HIW,REIT - Office,Real Estate
CENT,Packaged Foods,Consumer Staples
GRND,Software - Application,Technology
NTCT,Software - Infrastructure,Technology
IRON,Biotechnology,Healthcare
KOD,Biotechnology,Healthcare
MCW,Auto & Truck Dealerships,Consumer Discretionary
XRAY,Medical Instruments & Supplies,Healthcare
STUB,Internet Content & Information,Communication Services
FBNC,Banks - Regional,Financials
DNOW,Industrial Distribution,Industrials
RXO,Trucking,Industrials
VNET,Information Technology Services,Technology
OSW,Leisure,Consumer Discretionary
VAC,Resorts & Casinos,Consumer Discretionary
SVM,Silver,Materials
HCM,Drug Manufacturers - Specialty & Generic,Healthcare
BBUC,Asset Management,Financials
FRSH,Software - Application,Technology
CSGS,Software - Infrastructure,Technology
XXI,Shell Companies,Financials
IMNM,Biotechnology,Healthcare
GEO,Security & Protection Services,Industrials
CLSK,Capital Markets,Financials
DAWN,Biotechnology,Healthcare
SAH,Auto & Truck Dealerships,Consumer Discretionary
AMBA,Semiconductor Equipment & Materials,Technology
AMPX,Electrical Equipment & Parts,Industrials
BEAM,Biotechnology,Healthcare
ORKA,Biotechnology,Healthcare
ADMA,Biotechnology,Healthcare
HUN,Chemicals,Materials
NWN,Utilities - Regulated Gas,Utilities
MLCO,Resorts & Casinos,Consumer Discretionary
ABM,Specialty Business Services,Industrials
MTX,Specialty Chemicals,Materials
NBTB,Banks - Regional,Financials
TGB,Copper,Materials
PAHC,Drug Manufacturers - Specialty & Generic,Healthcare
SLDE,Insurance - Property & Casualty,Financials
HOG,Recreational Vehicles,Consumer Discretionary
GEL,Oil & Gas Midstream,Energy
KN,Electronic Components,Technology
CECO,Pollution & Treatment Controls,Industrials
TBBK,Banks - Regional,Financials
APLS,Biotechnology,Healthcare
NESR,Oil & Gas Equipment & Services,Energy
HUBG,Integrated Freight & Logistics,Industrials
GRDN,Medical Care Facilities,Healthcare
KWR,Specialty Chemicals,Materials
AAPG,Biotechnology,Healthcare
WTTR,Oil & Gas Equipment & Services,Energy
NEXT,Oil & Gas Equipment & Services,Energy
BL,Software - Application,Technology
HLIO,Specialty Industrial Machinery,Industrials
VECO,Semiconductor Equipment & Materials,Technology
VVX,Aerospace & Defense,Industrials
VET,Oil & Gas Exploration & Production,Energy
BUSE,Banks - Regional,Financials
DXPE,Industrial Distribution,Industrials
HTFL,Health Information Services,Healthcare
INFQ,Software - Infrastructure,Technology
ALRM,Software - Application,Technology
ACHC,Medical Care Facilities,Healthcare
VRRM,Information Technology Services,Technology
WB,Internet Content & Information,Communication Services
PK,REIT - Hotel & Motel,Real Estate
SRPT,Biotechnology,Healthcare
HTH,Financial Conglomerates,Financials
SEZL,Credit Services,Financials
DRVN,Auto & Truck Dealerships,Consumer Discretionary
SNDX,Biotechnology,Healthcare
ARCB,Trucking,Industrials
CPRI,Luxury Goods,Consumer Discretionary
CCU,Beverages - Brewers,Consumer Staples
PTRN,Software - Application,Technology
EXTR,Communication Equipment,Technology
UTI,Education & Training Services,Consumer Staples
NSIT,Electronics & Computer Distribution,Technology
AVPT,Software - Infrastructure,Technology
NTB,Banks - Diversified,Financials
XPRO,Oil & Gas Equipment & Services,Energy
SPSC,Software - Application,Technology
BANR,Banks - Regional,Financials
ALG,Farm & Heavy Construction Machinery,Industrials
AHG,Medical Distribution,Healthcare
SEM,Medical Care Facilities,Healthcare
BTDR,Software - Application,Technology
ZLAB,Biotechnology,Healthcare
EVCM,Software - Infrastructure,Technology
CLDX,Biotechnology,Healthcare
NYAX,Software - Infrastructure,Technology
AERO,Airlines,Industrials
DAC,Marine Shipping,Industrials
BW,Specialty Industrial Machinery,Industrials
DXC,Information Technology Services,Technology
AGRO,Farm Products,Consumer Staples
CMRE,Marine Shipping,Industrials
EYE,Specialty Retail,Consumer Discretionary
ATKR,Electrical Equipment & Parts,Industrials
GRAL,Diagnostics & Research,Healthcare
FDP,Farm Products,Consumer Staples
INTA,Software - Application,Technology
BHE,Electronic Components,Technology
ATHM,Internet Content & Information,Communication Services
IMAX,Entertainment,Communication Services
AGYS,Software - Application,Technology
FMC,Agricultural Inputs,Materials
NKTR,Biotechnology,Healthcare
EFSC,Banks - Regional,Financials
GNL,REIT - Diversified,Real Estate
MAAS,Asset Management,Financials
PLUS,Software - Application,Technology
ECO,Marine Shipping,Industrials
HCI,Insurance - Property & Casualty,Financials
TYRA,Biotechnology,Healthcare
FLOC,Oil & Gas Equipment & Services,Energy
MLYS,Biotechnology,Healthcare
XMTR,Industrial Distribution,Industrials
ROG,Electronic Components,Technology
CDLR,Engineering & Construction,Industrials
FA,Specialty Business Services,Industrials
STOK,Biotechnology,Healthcare
MBIN,Banks - Regional,Financials
PSNY,Auto Manufacturers,Consumer Discretionary
ARR,REIT - Mortgage,Real Estate
WLY,Publishing,Communication Services
VRE,REIT - Residential,Real Estate
GLPG,Biotechnology,Healthcare
GLOB,Information Technology Services,Technology
DRH,REIT - Hotel & Motel,Real Estate
CASH,Banks - Regional,Financials
GCMG,Asset Management,Financials
NVTS,Semiconductors,Technology
ADPT,Biotechnology,Healthcare
HURN,Consulting Services,Industrials
WT,Asset Management,Financials
NMM,Marine Shipping,Industrials
TGLS,Building Materials,Materials
TENB,Software - Infrastructure,Technology
CXW,Security & Protection Services,Industrials
GTY,REIT - Retail,Real Estate
AUPH,Biotechnology,Healthcare
NEOG,Medical Devices,Healthcare
DEI,REIT - Office,Real Estate
SYBT,Banks - Regional,Financials
PTON,Leisure,Consumer Discretionary
UNIT,REIT - Specialty,Real Estate
CENTA,Packaged Foods,Consumer Staples
SKWD,Insurance - Property & Casualty,Financials
MESO,Biotechnology,Healthcare
RARE,Biotechnology,Healthcare
AAMI,Asset Management,Financials
BB,Software - Infrastructure,Technology
BORR,Oil & Gas Drilling,Energy
BHC,Drug Manufacturers - Specialty & Generic,Healthcare
BLX,Banks - Regional,Financials
PAX,Asset Management,Financials
GT,Auto Parts,Consumer Discretionary
KALU,Aluminum,Materials
